id,code,name,district_id
1,MMR001001,Myitkyina,48
2,MMR001002,Waingmaw,48
3,MMR001003,Injangyang,48
4,MMR001004,Tanai,48
5,MMR001005,Chipwi,48
6,MMR001006,Tsawlaw,48
7,MMR001001702,Sinbo,48
8,MMR001002702,Sadung,48
9,MMR001002703,"Kan Paik Ti",48
10,MMR001004702,"Shin Bway Yang",48
11,MMR001005702,"Pang War",48
12,MMR001007,Mohnyin,38
13,MMR001008,Mogaung,38
14,MMR001009,Hpakant,38
15,MMR001007702,Hopin,38
16,MMR001009702,Kamaing,38
17,MMR001010,Bhamo,3
18,MMR001011,Shwegu,3
19,MMR001012,Momauk,3
20,MMR001013,Mansi,3
21,MMR001011702,"Myo Hla",3
22,MMR001012702,Lwegel,3
23,MMR001012703,Dawthponeyan,3
24,MMR001014,Puta-O,54
25,MMR001015,Sumprabum,54
26,MMR001016,Machanbaw,54
27,MMR001018,Khaunglanhpu,54
28,MMR001017,Nawngmun,54
29,MMR001017702,Pannandin,54
30,MMR002001,Loikaw,26
31,MMR002002,Demoso,26
32,MMR002003,Hpruso,26
33,MMR002004,Shadaw,26
34,MMR002005,Bawlakhe,2
35,MMR002006,Hpasawng,2
36,MMR002007,Mese,2
37,MMR002005702,Ywarthit,2
38,MMR003001,Hpa-An,11
39,MMR003002,Hlaingbwe,11
40,MMR003004,Thandaunggyi,11
41,MMR003002702,Paingkyon,11
42,MMR003002703,"Shan Ywar Thit",11
43,MMR003004703,"Leik Tho",11
44,MMR003004704,"Baw Ga Li",11
45,MMR003003,Hpapun,12
46,MMR003003702,Kamarmaung,12
47,MMR003005,Myawaddy,45
48,MMR003005702,"Su Ka Li",45
49,MMR003005703,"Waw Lay Myaing  (Waw Lay)",45
50,MMR003006,Kawkareik,15
51,MMR003007,Kyainseikgyi,15
52,MMR003007702,Hpayarthonesu,15
53,MMR003007703,Kyaikdon,15
54,MMR004002,Hakha,7
55,MMR004003,Thantlang,7
56,MMR004001,Falam,5
57,MMR004004,Tedim,5
58,MMR004005,Tonzang,5
59,MMR004001702,Rihkhawdar,5
60,MMR004005702,Cikha,5
61,MMR004006,Mindat,37
62,MMR004007,Matupi,37
63,MMR004008,Kanpetlet,37
64,MMR004009,Paletwa,37
65,MMR004007702,Rezua,37
66,MMR004009702,Samee,37
67,MMR005001,Sagaing,58
68,MMR005002,Myinmu,58
69,MMR005003,Myaung,58
70,MMR005004,Shwebo,59
71,MMR005005,Khin-U,59
72,MMR005006,Wetlet,59
73,MMR005007,Kanbalu,59
74,MMR005008,Kyunhla,59
75,MMR005009,Ye-U,59
76,MMR005010,Tabayin,59
77,MMR005011,Taze,59
78,MMR005004702,"Kyauk Myaung",59
79,MMR005012,Monywa,41
80,MMR005013,Budalin,41
81,MMR005014,Ayadaw,41
82,MMR005015,Chaung-U,41
83,MMR005020,Katha,14
84,MMR005021,Indaw,14
85,MMR005022,Tigyaing,14
86,MMR005023,Banmauk,14
87,MMR005024,Kawlin,14
88,MMR005025,Wuntho,14
89,MMR005026,Pinlebu,14
90,MMR005027,Kale,13
91,MMR005028,Kalewa,13
92,MMR005029,Mingin,13
93,MMR005030,Tamu,62
94,MMR005030702,Myothit(Tamu),62
95,MMR005030703,"Khampat ",62
96,MMR005031,Mawlaik,33
97,MMR005032,Paungbyin,33
98,MMR005033,Hkamti,9
99,MMR005034,Homalin,9
100,MMR005035,"Lay Shi",9
101,MMR005036,Lahe,9
102,MMR005037,Nanyun,9
103,MMR005035702,"Mo Paing Lut ",9
104,MMR005036703,"Sum Ma Rar",9
105,MMR005036702,"Htan Par Kway",9
106,MMR005037702,"Pansaung ",9
107,MMR005037703,"Don Hee ",9
108,MMR005016,Yinmabin,74
109,MMR005018,Salingyi,74
110,MMR005019,Pale,74
111,MMR005017,Kani,74
112,MMR006001,Dawei,4
113,MMR006002,Launglon,4
114,MMR006003,Thayetchaung,4
115,MMR006004,Yebyu,4
116,MMR006001702,Myitta,4
117,MMR006004702,"Kaleinaung ",4
118,MMR006005,Myeik,46
119,MMR006006,Kyunsu,46
120,MMR006007,Palaw,46
121,MMR006008,Tanintharyi,46
122,MMR006007702,"Palauk ",46
123,MMR006009,Kawthoung,16
124,MMR006010,Bokpyin,16
125,MMR006009702,"Khamaukgyi ",16
126,MMR006010702,"Pyigyimandaing ",16
127,MMR006010703,Karathuri,16
128,MMR007001,Bago,1
129,MMR007002,Thanatpin,1
130,MMR007003,Kawa,1
131,MMR007004,Waw,1
132,MMR007005,Nyaunglebin,1
133,MMR007006,Kyauktaga,1
134,MMR007007,Daik-U,1
135,MMR007008,Shwegyin,1
136,MMR007009,Taungoo,64
137,MMR007010,Yedashe,64
138,MMR007011,Kyaukkyi,64
139,MMR007012,Phyu,64
140,MMR007013,Oktwin,64
141,MMR007014,Htantabin,64
142,MMR008001,Pyay,56
143,MMR008002,Paukkhaung,56
144,MMR008003,Padaung,56
145,MMR008004,Paungde,56
146,MMR008005,Thegon,56
147,MMR008006,Shwedaung,56
148,MMR008007,Thayarwady,67
149,MMR008008,Letpadan,67
150,MMR008009,Minhla,67
