id,name,code,region_divisions_id
1,Bago,MMR007D001,2
2,Bawlake,MMR002D002,5
3,Bhamo,MMR001D003,4
4,Dawei,MMR006D001,14
5,Falam,MMR004D001,3
6,Gangaw,MMR009D005,7
7,Hakha,MMR004D003,3
8,Hinthada,MMR017D002,1
9,Hkamti,MMR005D008,12
10,Hopang,MMR015D006,13
11,Hpa-An,MMR003D001,6
12,Hpapun,MMR003D004,6
13,Kale,MMR005D005,12
14,Katha,MMR005D004,12
15,Kawkareik,MMR003D003,6
16,Kawthoung,MMR006D003,14
17,Kengtung,MMR016D001,13
18,Kunlong,MMR015D004,13
19,Kyaukme,MMR015D003,13
20,Kyaukpyu,MMR012D003,11
21,Kyaukse,MMR010D003,8
22,Labutta,MMR017D004,1
23,Langkho,MMR014D003,13
24,Lashio,MMR015D001,13
25,Laukkaing,MMR015D005,13
26,Loikaw,MMR002D001,5
27,Loilen,MMR014D002,13
28,Magway,MMR009D001,7
29,Mandalay,MMR010D001,8
30,Matman,MMR015D007,13
31,Maubin,MMR017D005,1
32,Maungdaw,MMR012D002,11
33,Mawlaik,MMR005D007,12
34,Mawlamyine,MMR011D001,9
35,Meiktila,MMR010D007,8
36,Minbu,MMR009D002,7
37,Mindat,MMR004D002,3
38,Mohnyin,MMR001D002,4
39,Monghpyak,MMR016D004,13
40,Monghsat,MMR016D002,13
41,Monywa,MMR005D003,12
42,Mrauk-U,MMR012D005,11
43,Muse,MMR015D002,13
44,Myaungmya,MMR017D003,1
45,Myawaddy,MMR003D002,6
46,Myeik,MMR006D002,14
47,Myingyan,MMR010D004,8
48,Myitkyina,MMR001D001,4
49,"Naypyitaw (North)",MMR018D001,10
50,"Naypyitaw (South)",MMR018D002,10
51,Nyaung-U,MMR010D005,8
52,Pakokku,MMR009D004,7
53,Pathein,MMR017D001,1
54,Puta-O,MMR001D004,4
55,Pyapon,MMR017D006,1
56,Pyay,MMR008D001,2
57,Pyinoolwin,MMR010D002,8
58,Sagaing,MMR005D001,12
59,Shwebo,MMR005D002,12
60,Sittwe,MMR012D001,11
61,Tachileik,MMR016D003,13
62,Tamu,MMR005D006,12
63,Taunggyi,MMR014D001,13
64,Taungoo,MMR007D002,2
65,Thandwe,MMR012D004,11
66,Thaton,MMR011D002,9
67,Thayarwady,MMR008D002,2
68,Thayet,MMR009D003,7
69,Yamethin,MMR010D006,8
70,"Yangon (East)",MMR013D002,15
71,"Yangon (North)",MMR013D001,15
72,"Yangon (South)",MMR013D003,15
73,"Yangon (West)",MMR013D004,15
74,Yinmabin,MMR005D009,12
