id,code,name,district_id,id,name,code,region_divisions_id,id,name,code
1,MMR001001,Myitkyina,48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
2,MMR001002,Waingmaw,48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
3,MMR001003,Injangyang,48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
4,MMR001004,Tanai,48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
5,MMR001005,Chipwi,48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
6,MMR001006,Tsawlaw,48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
7,MMR001001702,Sinbo,48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
8,MMR001002702,Sadung,48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
9,MMR001002703,"Kan Paik Ti",48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
10,MMR001004702,"Shin Bway Yang",48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
11,MMR001005702,"Pang War",48,48,Myitkyina,MMR001D001,4,4,Kachin,KCN
12,MMR001007,Mohnyin,38,38,Mohnyin,MMR001D002,4,4,Kachin,KCN
13,MMR001008,Mogaung,38,38,Mohnyin,MMR001D002,4,4,Kachin,KCN
14,MMR001009,Hpakant,38,38,Mohnyin,MMR001D002,4,4,Kachin,KCN
15,MMR001007702,Hopin,38,38,Mohnyin,MMR001D002,4,4,Kachin,KCN
16,MMR001009702,Kamaing,38,38,Mohnyin,MMR001D002,4,4,Kachin,KCN
17,MMR001010,Bhamo,3,3,Bhamo,MMR001D003,4,4,Kachin,KCN
18,MMR001011,Shwegu,3,3,Bhamo,MMR001D003,4,4,Kachin,KCN
19,MMR001012,Momauk,3,3,Bhamo,MMR001D003,4,4,Kachin,KCN
20,MMR001013,Mansi,3,3,Bhamo,MMR001D003,4,4,Kachin,KCN
21,MMR001011702,"Myo Hla",3,3,Bhamo,MMR001D003,4,4,Kachin,KCN
22,MMR001012702,Lwegel,3,3,Bhamo,MMR001D003,4,4,Kachin,KCN
23,MMR001012703,Dawthponeyan,3,3,Bhamo,MMR001D003,4,4,Kachin,KCN
24,MMR001014,Puta-O,54,54,Puta-O,MMR001D004,4,4,Kachin,KCN
25,MMR001015,Sumprabum,54,54,Puta-O,MMR001D004,4,4,Kachin,KCN
26,MMR001016,Machanbaw,54,54,Puta-O,MMR001D004,4,4,Kachin,KCN
27,MMR001018,Khaunglanhpu,54,54,Puta-O,MMR001D004,4,4,Kachin,KCN
28,MMR001017,Nawngmun,54,54,Puta-O,MMR001D004,4,4,Kachin,KCN
29,MMR001017702,Pannandin,54,54,Puta-O,MMR001D004,4,4,Kachin,KCN
30,MMR002001,Loikaw,26,26,Loikaw,MMR002D001,5,5,Kayah,KYH
31,MMR002002,Demoso,26,26,Loikaw,MMR002D001,5,5,Kayah,KYH
32,MMR002003,Hpruso,26,26,Loikaw,MMR002D001,5,5,Kayah,KYH
33,MMR002004,Shadaw,26,26,Loikaw,MMR002D001,5,5,Kayah,KYH
34,MMR002005,Bawlakhe,2,2,Bawlake,MMR002D002,5,5,Kayah,KYH
35,MMR002006,Hpasawng,2,2,Bawlake,MMR002D002,5,5,Kayah,KYH
36,MMR002007,Mese,2,2,Bawlake,MMR002D002,5,5,Kayah,KYH
37,MMR002005702,Ywarthit,2,2,Bawlake,MMR002D002,5,5,Kayah,KYH
38,MMR003001,Hpa-An,11,11,Hpa-An,MMR003D001,6,6,Kayin,KYN
39,MMR003002,Hlaingbwe,11,11,Hpa-An,MMR003D001,6,6,Kayin,KYN
40,MMR003004,Thandaunggyi,11,11,Hpa-An,MMR003D001,6,6,Kayin,KYN
41,MMR003002702,Paingkyon,11,11,Hpa-An,MMR003D001,6,6,Kayin,KYN
42,MMR003002703,"Shan Ywar Thit",11,11,Hpa-An,MMR003D001,6,6,Kayin,KYN
43,MMR003004703,"Leik Tho",11,11,Hpa-An,MMR003D001,6,6,Kayin,KYN
44,MMR003004704,"Baw Ga Li",11,11,Hpa-An,MMR003D001,6,6,Kayin,KYN
45,MMR003003,Hpapun,12,12,Hpapun,MMR003D004,6,6,Kayin,KYN
46,MMR003003702,Kamarmaung,12,12,Hpapun,MMR003D004,6,6,Kayin,KYN
47,MMR003005,Myawaddy,45,45,Myawaddy,MMR003D002,6,6,Kayin,KYN
