code,name,code,name,code,name
MMR001001,Myitkyina,MMR001D001,Myitkyina,KCN,Kachin
MMR001002,Waingmaw,MMR001D001,Myitkyina,KCN,Kachin
MMR001003,Injangyang,MMR001D001,Myitkyina,KCN,Kachin
MMR001004,Tanai,MMR001D001,Myitkyina,KCN,Kachin
MMR001005,Chipwi,MMR001D001,Myitkyina,KCN,Kachin
MMR001006,Tsawlaw,MMR001D001,Myitkyina,KCN,Kachin
MMR001001702,Sinbo,MMR001D001,Myitkyina,KCN,Kachin
MMR001002702,Sadung,MMR001D001,Myitkyina,KCN,Kachin
MMR001002703,"Kan Paik Ti",MMR001D001,Myitkyina,KCN,Kachin
MMR001004702,"Shin Bway Yang",MMR001D001,Myitkyina,KCN,Kachin
MMR001005702,"Pang War",MMR001D001,Myitkyina,KCN,Kachin
MMR001007,Mohnyin,MMR001D002,Mohnyin,KCN,Kachin
MMR001008,Mogaung,MMR001D002,Mohnyin,KCN,Kachin
MMR001009,Hpakant,MMR001D002,Mohnyin,KCN,Kachin
MMR001007702,Hopin,MMR001D002,Mohnyin,KCN,Kachin
MMR001009702,Kamaing,MMR001D002,Mohnyin,KCN,Kachin
MMR001010,Bhamo,MMR001D003,Bhamo,KCN,Kachin
MMR001011,Shwegu,MMR001D003,Bhamo,KCN,Kachin
MMR001012,Momauk,MMR001D003,Bhamo,KCN,Kachin
MMR001013,Mansi,MMR001D003,Bhamo,KCN,Kachin
MMR001011702,"Myo Hla",MMR001D003,Bhamo,KCN,Kachin
MMR001012702,Lwegel,MMR001D003,Bhamo,KCN,Kachin
MMR001012703,Dawthponeyan,MMR001D003,Bhamo,KCN,Kachin
MMR001014,Puta-O,MMR001D004,Puta-O,KCN,Kachin
MMR001015,Sumprabum,MMR001D004,Puta-O,KCN,Kachin
MMR001016,Machanbaw,MMR001D004,Puta-O,KCN,Kachin
MMR001018,Khaunglanhpu,MMR001D004,Puta-O,KCN,Kachin
MMR001017,Nawngmun,MMR001D004,Puta-O,KCN,Kachin
MMR001017702,Pannandin,MMR001D004,Puta-O,KCN,Kachin
MMR002001,Loikaw,MMR002D001,Loikaw,KYH,Kayah
MMR002002,Demoso,MMR002D001,Loikaw,KYH,Kayah
MMR002003,Hpruso,MMR002D001,Loikaw,KYH,Kayah
MMR002004,Shadaw,MMR002D001,Loikaw,KYH,Kayah
MMR002005,Bawlakhe,MMR002D002,Bawlake,KYH,Kayah
MMR002006,Hpasawng,MMR002D002,Bawlake,KYH,Kayah
MMR002007,Mese,MMR002D002,Bawlake,KYH,Kayah
MMR002005702,Ywarthit,MMR002D002,Bawlake,KYH,Kayah
MMR003001,Hpa-An,MMR003D001,Hpa-An,KYN,Kayin
MMR003002,Hlaingbwe,MMR003D001,Hpa-An,KYN,Kayin
MMR003004,Thandaunggyi,MMR003D001,Hpa-An,KYN,Kayin
MMR003002702,Paingkyon,MMR003D001,Hpa-An,KYN,Kayin
MMR003002703,"Shan Ywar Thit",MMR003D001,Hpa-An,KYN,Kayin
MMR003004703,"Leik Tho",MMR003D001,Hpa-An,KYN,Kayin
MMR003004704,"Baw Ga Li",MMR003D001,Hpa-An,KYN,Kayin
MMR003003,Hpapun,MMR003D004,Hpapun,KYN,Kayin
MMR003003702,Kamarmaung,MMR003D004,Hpapun,KYN,Kayin
MMR003005,Myawaddy,MMR003D002,Myawaddy,KYN,Kayin
MMR003005702,"Su Ka Li",MMR003D002,Myawaddy,KYN,Kayin
MMR003005703,"Waw Lay Myaing  (Waw Lay)",MMR003D002,Myawaddy,KYN,Kayin
MMR003006,Kawkareik,MMR003D003,Kawkareik,KYN,Kayin
MMR003007,Kyainseikgyi,MMR003D003,Kawkareik,KYN,Kayin
MMR003007702,Hpayarthonesu,MMR003D003,Kawkareik,KYN,Kayin
MMR003007703,Kyaikdon,MMR003D003,Kawkareik,KYN,Kayin
MMR004002,Hakha,MMR004D003,Hakha,CHN,Chin
MMR004003,Thantlang,MMR004D003,Hakha,CHN,Chin
MMR004001,Falam,MMR004D001,Falam,CHN,Chin
MMR004004,Tedim,MMR004D001,Falam,CHN,Chin
MMR004005,Tonzang,MMR004D001,Falam,CHN,Chin
MMR004001702,Rihkhawdar,MMR004D001,Falam,CHN,Chin
MMR004005702,Cikha,MMR004D001,Falam,CHN,Chin
MMR004006,Mindat,MMR004D002,Mindat,CHN,Chin
MMR004007,Matupi,MMR004D002,Mindat,CHN,Chin
MMR004008,Kanpetlet,MMR004D002,Mindat,CHN,Chin
MMR004009,Paletwa,MMR004D002,Mindat,CHN,Chin
MMR004007702,Rezua,MMR004D002,Mindat,CHN,Chin
MMR004009702,Samee,MMR004D002,Mindat,CHN,Chin
MMR005001,Sagaing,MMR005D001,Sagaing,SGG,Sagaing
MMR005002,Myinmu,MMR005D001,Sagaing,SGG,Sagaing
MMR005003,Myaung,MMR005D001,Sagaing,SGG,Sagaing
MMR005004,Shwebo,MMR005D002,Shwebo,SGG,Sagaing
MMR005005,Khin-U,MMR005D002,Shwebo,SGG,Sagaing
MMR005006,Wetlet,MMR005D002,Shwebo,SGG,Sagaing
MMR005007,Kanbalu,MMR005D002,Shwebo,SGG,Sagaing
MMR005008,Kyunhla,MMR005D002,Shwebo,SGG,Sagaing
MMR005009,Ye-U,MMR005D002,Shwebo,SGG,Sagaing
MMR005010,Tabayin,MMR005D002,Shwebo,SGG,Sagaing
MMR005011,Taze,MMR005D002,Shwebo,SGG,Sagaing
MMR005004702,"Kyauk Myaung",MMR005D002,Shwebo,SGG,Sagaing
MMR005012,Monywa,MMR005D003,Monywa,SGG,Sagaing
MMR005013,Budalin,MMR005D003,Monywa,SGG,Sagaing
MMR005014,Ayadaw,MMR005D003,Monywa,SGG,Sagaing
MMR005015,Chaung-U,MMR005D003,Monywa,SGG,Sagaing
MMR005020,Katha,MMR005D004,Katha,SGG,Sagaing
MMR005021,Indaw,MMR005D004,Katha,SGG,Sagaing
MMR005022,Tigyaing,MMR005D004,Katha,SGG,Sagaing
MMR005023,Banmauk,MMR005D004,Katha,SGG,Sagaing
MMR005024,Kawlin,MMR005D004,Katha,SGG,Sagaing
MMR005025,Wuntho,MMR005D004,Katha,SGG,Sagaing
MMR005026,Pinlebu,MMR005D004,Katha,SGG,Sagaing
MMR005027,Kale,MMR005D005,Kale,SGG,Sagaing
MMR005028,Kalewa,MMR005D005,Kale,SGG,Sagaing
MMR005029,Mingin,MMR005D005,Kale,SGG,Sagaing
MMR005030,Tamu,MMR005D006,Tamu,SGG,Sagaing
MMR005030702,Myothit(Tamu),MMR005D006,Tamu,SGG,Sagaing
MMR005030703,"Khampat ",MMR005D006,Tamu,SGG,Sagaing
MMR005031,Mawlaik,MMR005D007,Mawlaik,SGG,Sagaing
MMR005032,Paungbyin,MMR005D007,Mawlaik,SGG,Sagaing
MMR005033,Hkamti,MMR005D008,Hkamti,SGG,Sagaing
MMR005034,Homalin,MMR005D008,Hkamti,SGG,Sagaing
MMR005035,"Lay Shi",MMR005D008,Hkamti,SGG,Sagaing
MMR005036,Lahe,MMR005D008,Hkamti,SGG,Sagaing
MMR005037,Nanyun,MMR005D008,Hkamti,SGG,Sagaing
MMR005035702,"Mo Paing Lut ",MMR005D008,Hkamti,SGG,Sagaing
MMR005036703,"Sum Ma Rar",MMR005D008,Hkamti,SGG,Sagaing
MMR005036702,"Htan Par Kway",MMR005D008,Hkamti,SGG,Sagaing
MMR005037702,"Pansaung ",MMR005D008,Hkamti,SGG,Sagaing
MMR005037703,"Don Hee ",MMR005D008,Hkamti,SGG,Sagaing
MMR005016,Yinmabin,MMR005D009,Yinmabin,SGG,Sagaing
MMR005018,Salingyi,MMR005D009,Yinmabin,SGG,Sagaing
